term_id	exclusion_reason
NCIT:C10023	MONDO:excludeNonDisease
NCIT:C100230	MONDO:excludeNonDisease
NCIT:C100231	MONDO:excludeNonDisease
NCIT:C100232	MONDO:excludeNonDisease
NCIT:C100233	MONDO:excludeNonDisease
NCIT:C100234	MONDO:excludeNonDisease
NCIT:C100235	MONDO:excludeNonDisease
NCIT:C100236	MONDO:excludeNonDisease
NCIT:C100237	MONDO:excludeNonDisease
NCIT:C100238	MONDO:excludeNonDisease
NCIT:C100239	MONDO:excludeNonDisease
NCIT:C10024	MONDO:excludeNonDisease
NCIT:C100240	MONDO:excludeNonDisease
NCIT:C100241	MONDO:excludeNonDisease
NCIT:C100242	MONDO:excludeNonDisease
NCIT:C100243	MONDO:excludeNonDisease
NCIT:C100244	MONDO:excludeNonDisease
NCIT:C100245	MONDO:excludeNonDisease
NCIT:C100246	MONDO:excludeNonDisease
NCIT:C100247	MONDO:excludeNonDisease
NCIT:C100248	MONDO:excludeNonDisease
NCIT:C100249	MONDO:excludeNonDisease
NCIT:C10025	MONDO:excludeNonDisease
NCIT:C100250	MONDO:excludeNonDisease
NCIT:C100251	MONDO:excludeNonDisease
NCIT:C100252	MONDO:excludeNonDisease
NCIT:C100253	MONDO:excludeNonDisease
NCIT:C100254	MONDO:excludeNonDisease
NCIT:C100255	MONDO:excludeNonDisease
NCIT:C100256	MONDO:excludeNonDisease
NCIT:C100257	MONDO:excludeNonDisease
NCIT:C100258	MONDO:excludeNonDisease
NCIT:C100259	MONDO:excludeNonDisease
NCIT:C10026	MONDO:excludeNonDisease
NCIT:C100260	MONDO:excludeNonDisease
NCIT:C100261	MONDO:excludeNonDisease
NCIT:C100262	MONDO:excludeNonDisease
NCIT:C100263	MONDO:excludeNonDisease
NCIT:C100264	MONDO:excludeNonDisease
NCIT:C100265	MONDO:excludeNonDisease
NCIT:C100266	MONDO:excludeNonDisease
NCIT:C100267	MONDO:excludeNonDisease
NCIT:C100268	MONDO:excludeNonDisease
NCIT:C100269	MONDO:excludeNonDisease
NCIT:C10027	MONDO:excludeNonDisease
NCIT:C100270	MONDO:excludeNonDisease
NCIT:C100271	MONDO:excludeNonDisease
NCIT:C100272	MONDO:excludeNonDisease
NCIT:C100273	MONDO:excludeNonDisease
NCIT:C100274	MONDO:excludeNonDisease
NCIT:C100275	MONDO:excludeNonDisease
NCIT:C100276	MONDO:excludeNonDisease
NCIT:C100277	MONDO:excludeNonDisease
NCIT:C100278	MONDO:excludeNonDisease
NCIT:C100279	MONDO:excludeNonDisease
NCIT:C10028	MONDO:excludeNonDisease
NCIT:C100280	MONDO:excludeNonDisease
NCIT:C100281	MONDO:excludeNonDisease
NCIT:C100282	MONDO:excludeNonDisease
NCIT:C100283	MONDO:excludeNonDisease
NCIT:C100284	MONDO:excludeNonDisease
NCIT:C100285	MONDO:excludeNonDisease
NCIT:C100286	MONDO:excludeNonDisease
NCIT:C100287	MONDO:excludeNonDisease
NCIT:C100288	MONDO:excludeNonDisease
NCIT:C100289	MONDO:excludeNonDisease
NCIT:C10029	MONDO:excludeNonDisease
NCIT:C100290	MONDO:excludeNonDisease
NCIT:C100291	MONDO:excludeNonDisease
NCIT:C100292	MONDO:excludeNonDisease
NCIT:C100293	MONDO:excludeNonDisease
NCIT:C100294	MONDO:excludeNonDisease
NCIT:C100295	MONDO:excludeNonDisease
NCIT:C100296	MONDO:excludeNonDisease
NCIT:C100297	MONDO:excludeNonDisease
NCIT:C100298	MONDO:excludeNonDisease
NCIT:C100299	MONDO:excludeNonDisease
NCIT:C1003	MONDO:excludeNonDisease
NCIT:C10030	MONDO:excludeNonDisease
NCIT:C100300	MONDO:excludeNonDisease
NCIT:C100301	MONDO:excludeNonDisease
NCIT:C100302	MONDO:excludeNonDisease
NCIT:C100303	MONDO:excludeNonDisease
NCIT:C100304	MONDO:excludeNonDisease
NCIT:C100305	MONDO:excludeNonDisease
NCIT:C100306	MONDO:excludeNonDisease
NCIT:C100307	MONDO:excludeNonDisease
NCIT:C100308	MONDO:excludeNonDisease
NCIT:C100309	MONDO:excludeNonDisease
NCIT:C10031	MONDO:excludeNonDisease
