subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0011527	Charcot-Marie-Tooth disease type 4E	skos:closeMatch	DOID:0070678	congenital hypomyelinating neuropathy	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	mesh:c535301	LEXMATCH
MONDO:0011527	Charcot-Marie-Tooth disease type 4E	skos:closeMatch	DOID:0070678	congenital hypomyelinating neuropathy	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	congenital hypomyelination neuropathy	LEXMATCH
MONDO:0011527	Charcot-Marie-Tooth disease type 4E	skos:closeMatch	DOID:0070678	congenital hypomyelinating neuropathy	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	mesh:c535301	LEXMATCH
MONDO:0011576	familial hyperaldosteronism type II	skos:closeMatch	DOID:0061249	familial hyperaldosteronism II	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:605635	LEXMATCH
MONDO:0011576	familial hyperaldosteronism type II	skos:closeMatch	DOID:0061249	familial hyperaldosteronism II	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:605635	LEXMATCH
MONDO:0011576	familial hyperaldosteronism type II	skos:closeMatch	DOID:0061249	familial hyperaldosteronism II	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:605635	LEXMATCH
MONDO:0011576	familial hyperaldosteronism type II	skos:closeMatch	DOID:0061249	familial hyperaldosteronism II	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:605635	LEXMATCH
MONDO:0011576	familial hyperaldosteronism type II	skos:closeMatch	DOID:0061249	familial hyperaldosteronism II	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	omim:605635	LEXMATCH
MONDO:0011756	Senior-Loken syndrome 4	skos:closeMatch	DOID:0061278	Senior-Loken syndrome 4	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:606996	LEXMATCH
MONDO:0011756	Senior-Loken syndrome 4	skos:closeMatch	DOID:0061278	Senior-Loken syndrome 4	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:606996	LEXMATCH
